CHROM,Position,Depth,sample_id,dpi,replicate
VEEV,86,7813,DPI1_R1_Lung,1,1
VEEV,87,6770,DPI1_R1_Lung,1,1
VEEV,88,6395,DPI1_R1_Lung,1,1
VEEV,89,7561,DPI1_R1_Lung,1,1
VEEV,90,7525,DPI1_R1_Lung,1,1
VEEV,91,8577,DPI1_R1_Lung,1,1
VEEV,92,5037,DPI1_R1_Lung,1,1
VEEV,93,7734,DPI1_R1_Lung,1,1
VEEV,94,6730,DPI1_R1_Lung,1,1
VEEV,95,7228,DPI1_R1_Lung,1,1
VEEV,96,7150,DPI1_R1_Lung,1,1
VEEV,97,7019,DPI1_R1_Lung,1,1
VEEV,98,10249,DPI1_R1_Lung,1,1
VEEV,99,8528,DPI1_R1_Lung,1,1
VEEV,100,8192,DPI1_R1_Lung,1,1
VEEV,101,10179,DPI1_R1_Lung,1,1
VEEV,102,5861,DPI1_R1_Lung,1,1
VEEV,103,6407,DPI1_R1_Lung,1,1
VEEV,104,5823,DPI1_R1_Lung,1,1
VEEV,105,5091,DPI1_R1_Lung,1,1
VEEV,106,9732,DPI1_R1_Lung,1,1
VEEV,107,7790,DPI1_R1_Lung,1,1
VEEV,108,9042,DPI1_R1_Lung,1,1
VEEV,109,5183,DPI1_R1_Lung,1,1
VEEV,110,6191,DPI1_R1_Lung,1,1
VEEV,111,8281,DPI1_R1_Lung,1,1
VEEV,112,7788,DPI1_R1_Lung,1,1
VEEV,113,8103,DPI1_R1_Lung,1,1
VEEV,114,8716,DPI1_R1_Lung,1,1
VEEV,115,6675,DPI1_R1_Lung,1,1
VEEV,116,7511,DPI1_R1_Lung,1,1
VEEV,117,5564,DPI1_R1_Lung,1,1
VEEV,118,5479,DPI1_R1_Lung,1,1
VEEV,119,7937,DPI1_R1_Lung,1,1
VEEV,120,7219,DPI1_R1_Lung,1,1
VEEV,121,6431,DPI1_R1_Lung,1,1
VEEV,122,9143,DPI1_R1_Lung,1,1
VEEV,123,6650,DPI1_R1_Lung,1,1
VEEV,124,7911,DPI1_R1_Lung,1,1
VEEV,125,6347,DPI1_R1_Lung,1,1
VEEV,126,7409,DPI1_R1_Lung,1,1
VEEV,127,9669,DPI1_R1_Lung,1,1
VEEV,128,9215,DPI1_R1_Lung,1,1
VEEV,129,6848,DPI1_R1_Lung,1,1
VEEV,130,8850,DPI1_R1_Lung,1,1
VEEV,131,7804,DPI1_R1_Lung,1,1
VEEV,132,5250,DPI1_R1_Lung,1,1
VEEV,133,8149,DPI1_R1_Lung,1,1
VEEV,134,7578,DPI1_R1_Lung,1,1
VEEV,135,8156,DPI1_R1_Lung,1,1
VEEV,136,6490,DPI1_R1_Lung,1,1
VEEV,137,5291,DPI1_R1_Lung,1,1
VEEV,138,4761,DPI1_R1_Lung,1,1
VEEV,139,7114,DPI1_R1_Lung,1,1
VEEV,140,8131,DPI1_R1_Lung,1,1
VEEV,141,7525,DPI1_R1_Lung,1,1
VEEV,142,6018,DPI1_R1_Lung,1,1
VEEV,143,6508,DPI1_R1_Lung,1,1
VEEV,144,5987,DPI1_R1_Lung,1,1
VEEV,145,5210,DPI1_R1_Lung,1,1
VEEV,146,8367,DPI1_R1_Lung,1,1
VEEV,147,7567,DPI1_R1_Lung,1,1
VEEV,148,6929,DPI1_R1_Lung,1,1
VEEV,149,5767,DPI1_R1_Lung,1,1
VEEV,150,8477,DPI1_R1_Lung,1,1
VEEV,151,9125,DPI1_R1_Lung,1,1
VEEV,152,6931,DPI1_R1_Lung,1,1
VEEV,153,6791,DPI1_R1_Lung,1,1
VEEV,154,8831,DPI1_R1_Lung,1,1
VEEV,155,8957,DPI1_R1_Lung,1,1
VEEV,156,5078,DPI1_R1_Lung,1,1
VEEV,157,8097,DPI1_R1_Lung,1,1
VEEV,158,8821,DPI1_R1_Lung,1,1
VEEV,159,5388,DPI1_R1_Lung,1,1
VEEV,160,9238,DPI1_R1_Lung,1,1
VEEV,161,9672,DPI1_R1_Lung,1,1
VEEV,162,6689,DPI1_R1_Lung,1,1
VEEV,163,7738,DPI1_R1_Lung,1,1
VEEV,164,8795,DPI1_R1_Lung,1,1
VEEV,165,8722,DPI1_R1_Lung,1,1
VEEV,166,5233,DPI1_R1_Lung,1,1
VEEV,167,8484,DPI1_R1_Lung,1,1
VEEV,168,7959,DPI1_R1_Lung,1,1
VEEV,169,7297,DPI1_R1_Lung,1,1
VEEV,170,7769,DPI1_R1_Lung,1,1
VEEV,171,5790,DPI1_R1_Lung,1,1
VEEV,172,5789,DPI1_R1_Lung,1,1
VEEV,173,7873,DPI1_R1_Lung,1,1
VEEV,174,7637,DPI1_R1_Lung,1,1
VEEV,175,8183,DPI1_R1_Lung,1,1
VEEV,176,6742,DPI1_R1_Lung,1,1
VEEV,177,9105,DPI1_R1_Lung,1,1
VEEV,178,6057,DPI1_R1_Lung,1,1
VEEV,179,6401,DPI1_R1_Lung,1,1
VEEV,180,6862,DPI1_R1_Lung,1,1
VEEV,181,7451,DPI1_R1_Lung,1,1
VEEV,182,6614,DPI1_R1_Lung,1,1
VEEV,183,5783,DPI1_R1_Lung,1,1
VEEV,184,8549,DPI1_R1_Lung,1,1
VEEV,185,8992,DPI1_R1_Lung,1,1
VEEV,186,7921,DPI1_R1_Lung,1,1
VEEV,187,6714,DPI1_R1_Lung,1,1
VEEV,188,4957,DPI1_R1_Lung,1,1
VEEV,189,6301,DPI1_R1_Lung,1,1
VEEV,190,7674,DPI1_R1_Lung,1,1
VEEV,191,6484,DPI1_R1_Lung,1,1
VEEV,192,6333,DPI1_R1_Lung,1,1
VEEV,193,5596,DPI1_R1_Lung,1,1
VEEV,194,7280,DPI1_R1_Lung,1,1
VEEV,195,9677,DPI1_R1_Lung,1,1
VEEV,196,7152,DPI1_R1_Lung,1,1
VEEV,197,5379,DPI1_R1_Lung,1,1
VEEV,198,7297,DPI1_R1_Lung,1,1
VEEV,199,6778,DPI1_R1_Lung,1,1
VEEV,200,7486,DPI1_R1_Lung,1,1
VEEV,201,6653,DPI1_R1_Lung,1,1
VEEV,202,8692,DPI1_R1_Lung,1,1
VEEV,203,5973,DPI1_R1_Lung,1,1
VEEV,204,6825,DPI1_R1_Lung,1,1
VEEV,205,7720,DPI1_R1_Lung,1,1
VEEV,206,7467,DPI1_R1_Lung,1,1
VEEV,207,6029,DPI1_R1_Lung,1,1
VEEV,208,5319,DPI1_R1_Lung,1,1
VEEV,209,8349,DPI1_R1_Lung,1,1
VEEV,210,6495,DPI1_R1_Lung,1,1
VEEV,211,5468,DPI1_R1_Lung,1,1
VEEV,212,8393,DPI1_R1_Lung,1,1
VEEV,213,7123,DPI1_R1_Lung,1,1
VEEV,214,5632,DPI1_R1_Lung,1,1
VEEV,215,5947,DPI1_R1_Lung,1,1
VEEV,216,5767,DPI1_R1_Lung,1,1
VEEV,217,8077,DPI1_R1_Lung,1,1
VEEV,218,7056,DPI1_R1_Lung,1,1
VEEV,219,7067,DPI1_R1_Lung,1,1
VEEV,220,9750,DPI1_R1_Lung,1,1
VEEV,221,6401,DPI1_R1_Lung,1,1
VEEV,222,6409,DPI1_R1_Lung,1,1
VEEV,223,8746,DPI1_R1_Lung,1,1
VEEV,224,6588,DPI1_R1_Lung,1,1
VEEV,225,8988,DPI1_R1_Lung,1,1
VEEV,226,7100,DPI1_R1_Lung,1,1
VEEV,227,5902,DPI1_R1_Lung,1,1
VEEV,228,7734,DPI1_R1_Lung,1,1
VEEV,229,7697,DPI1_R1_Lung,1,1
VEEV,230,5696,DPI1_R1_Lung,1,1
VEEV,231,6938,DPI1_R1_Lung,1,1
VEEV,232,6877,DPI1_R1_Lung,1,1
VEEV,233,6004,DPI1_R1_Lung,1,1
VEEV,234,7714,DPI1_R1_Lung,1,1
VEEV,235,6836,DPI1_R1_Lung,1,1
VEEV,236,7078,DPI1_R1_Lung,1,1
VEEV,237,6536,DPI1_R1_Lung,1,1
VEEV,238,8787,DPI1_R1_Lung,1,1
VEEV,239,7230,DPI1_R1_Lung,1,1
VEEV,240,7424,DPI1_R1_Lung,1,1
VEEV,241,6672,DPI1_R1_Lung,1,1
VEEV,242,8070,DPI1_R1_Lung,1,1
VEEV,243,7981,DPI1_R1_Lung,1,1
VEEV,244,6416,DPI1_R1_Lung,1,1
VEEV,245,5484,DPI1_R1_Lung,1,1
VEEV,246,6057,DPI1_R1_Lung,1,1
VEEV,247,6526,DPI1_R1_Lung,1,1
VEEV,248,7847,DPI1_R1_Lung,1,1
VEEV,249,6744,DPI1_R1_Lung,1,1
VEEV,250,6212,DPI1_R1_Lung,1,1
VEEV,251,6745,DPI1_R1_Lung,1,1
VEEV,252,7285,DPI1_R1_Lung,1,1
VEEV,253,6887,DPI1_R1_Lung,1,1
VEEV,254,7249,DPI1_R1_Lung,1,1
VEEV,255,6859,DPI1_R1_Lung,1,1
VEEV,256,6847,DPI1_R1_Lung,1,1
VEEV,257,8061,DPI1_R1_Lung,1,1
VEEV,258,7457,DPI1_R1_Lung,1,1
VEEV,259,5658,DPI1_R1_Lung,1,1
VEEV,260,7628,DPI1_R1_Lung,1,1
VEEV,261,8393,DPI1_R1_Lung,1,1
VEEV,262,8099,DPI1_R1_Lung,1,1
VEEV,263,7801,DPI1_R1_Lung,1,1
VEEV,264,5385,DPI1_R1_Lung,1,1
VEEV,265,6346,DPI1_R1_Lung,1,1
VEEV,266,7799,DPI1_R1_Lung,1,1
VEEV,267,7332,DPI1_R1_Lung,1,1
VEEV,268,7833,DPI1_R1_Lung,1,1
VEEV,269,8533,DPI1_R1_Lung,1,1
VEEV,270,6675,DPI1_R1_Lung,1,1
VEEV,271,6594,DPI1_R1_Lung,1,1
VEEV,272,4349,DPI1_R1_Lung,1,1
VEEV,273,8171,DPI1_R1_Lung,1,1
VEEV,274,7825,DPI1_R1_Lung,1,1
VEEV,275,7742,DPI1_R1_Lung,1,1
VEEV,276,7311,DPI1_R1_Lung,1,1
VEEV,277,9469,DPI1_R1_Lung,1,1
VEEV,278,8294,DPI1_R1_Lung,1,1
VEEV,279,9790,DPI1_R1_Lung,1,1
VEEV,280,8039,DPI1_R1_Lung,1,1
VEEV,281,6593,DPI1_R1_Lung,1,1
VEEV,282,6972,DPI1_R1_Lung,1,1
VEEV,283,6584,DPI1_R1_Lung,1,1
VEEV,284,7367,DPI1_R1_Lung,1,1
VEEV,285,6890,DPI1_R1_Lung,1,1
VEEV,286,6004,DPI1_R1_Lung,1,1
VEEV,287,6293,DPI1_R1_Lung,1,1
VEEV,288,6073,DPI1_R1_Lung,1,1
VEEV,289,6212,DPI1_R1_Lung,1,1
VEEV,290,7722,DPI1_R1_Lung,1,1
VEEV,291,8072,DPI1_R1_Lung,1,1
VEEV,292,7017,DPI1_R1_Lung,1,1
VEEV,293,7477,DPI1_R1_Lung,1,1
VEEV,294,7170,DPI1_R1_Lung,1,1
VEEV,295,8177,DPI1_R1_Lung,1,1
VEEV,296,6284,DPI1_R1_Lung,1,1
VEEV,297,6971,DPI1_R1_Lung,1,1
VEEV,298,9879,DPI1_R1_Lung,1,1
VEEV,299,5495,DPI1_R1_Lung,1,1
VEEV,300,7971,DPI1_R1_Lung,1,1
VEEV,301,8145,DPI1_R1_Lung,1,1
VEEV,302,8682,DPI1_R1_Lung,1,1
VEEV,303,6793,DPI1_R1_Lung,1,1
VEEV,304,7045,DPI1_R1_Lung,1,1
VEEV,305,8274,DPI1_R1_Lung,1,1
VEEV,306,6836,DPI1_R1_Lung,1,1
VEEV,307,6578,DPI1_R1_Lung,1,1
VEEV,308,6575,DPI1_R1_Lung,1,1
VEEV,309,7831,DPI1_R1_Lung,1,1
VEEV,310,5887,DPI1_R1_Lung,1,1
VEEV,311,6213,DPI1_R1_Lung,1,1
VEEV,312,6285,DPI1_R1_Lung,1,1
VEEV,313,5169,DPI1_R1_Lung,1,1
VEEV,314,6054,DPI1_R1_Lung,1,1
VEEV,315,7330,DPI1_R1_Lung,1,1
VEEV,316,7394,DPI1_R1_Lung,1,1
VEEV,317,6162,DPI1_R1_Lung,1,1
VEEV,318,6612,DPI1_R1_Lung,1,1
VEEV,319,7362,DPI1_R1_Lung,1,1
VEEV,320,6576,DPI1_R1_Lung,1,1
VEEV,321,8813,DPI1_R1_Lung,1,1
VEEV,322,5881,DPI1_R1_Lung,1,1
VEEV,323,9053,DPI1_R1_Lung,1,1
VEEV,324,6801,DPI1_R1_Lung,1,1
VEEV,325,5535,DPI1_R1_Lung,1,1
VEEV,326,5883,DPI1_R1_Lung,1,1
VEEV,327,9105,DPI1_R1_Lung,1,1
VEEV,328,6598,DPI1_R1_Lung,1,1
VEEV,329,6498,DPI1_R1_Lung,1,1
VEEV,330,6461,DPI1_R1_Lung,1,1
VEEV,331,8090,DPI1_R1_Lung,1,1
VEEV,332,5783,DPI1_R1_Lung,1,1
VEEV,333,8230,DPI1_R1_Lung,1,1
VEEV,334,5462,DPI1_R1_Lung,1,1
VEEV,335,6256,DPI1_R1_Lung,1,1
VEEV,336,8223,DPI1_R1_Lung,1,1
VEEV,337,8233,DPI1_R1_Lung,1,1
VEEV,338,7510,DPI1_R1_Lung,1,1
VEEV,339,6170,DPI1_R1_Lung,1,1
VEEV,340,4754,DPI1_R1_Lung,1,1
VEEV,341,5964,DPI1_R1_Lung,1,1
VEEV,342,5551,DPI1_R1_Lung,1,1
VEEV,343,8320,DPI1_R1_Lung,1,1
VEEV,344,6544,DPI1_R1_Lung,1,1
VEEV,345,7992,DPI1_R1_Lung,1,1
VEEV,346,8150,DPI1_R1_Lung,1,1
VEEV,347,7414,DPI1_R1_Lung,1,1
VEEV,348,6006,DPI1_R1_Lung,1,1
VEEV,349,6101,DPI1_R1_Lung,1,1
VEEV,350,5891,DPI1_R1_Lung,1,1
VEEV,351,7163,DPI1_R1_Lung,1,1
VEEV,352,4808,DPI1_R1_Lung,1,1
VEEV,353,8342,DPI1_R1_Lung,1,1
VEEV,354,7971,DPI1_R1_Lung,1,1
VEEV,355,7707,DPI1_R1_Lung,1,1
VEEV,356,8231,DPI1_R1_Lung,1,1
VEEV,357,7971,DPI1_R1_Lung,1,1
VEEV,358,5614,DPI1_R1_Lung,1,1
VEEV,359,7314,DPI1_R1_Lung,1,1
VEEV,360,6569,DPI1_R1_Lung,1,1
VEEV,361,10051,DPI1_R1_Lung,1,1
VEEV,362,8473,DPI1_R1_Lung,1,1
VEEV,363,10659,DPI1_R1_Lung,1,1
VEEV,364,5687,DPI1_R1_Lung,1,1
VEEV,365,8261,DPI1_R1_Lung,1,1
VEEV,366,8007,DPI1_R1_Lung,1,1
VEEV,367,7881,DPI1_R1_Lung,1,1
VEEV,368,7388,DPI1_R1_Lung,1,1
VEEV,369,6420,DPI1_R1_Lung,1,1
VEEV,370,6681,DPI1_R1_Lung,1,1
VEEV,371,6023,DPI1_R1_Lung,1,1
VEEV,372,6465,DPI1_R1_Lung,1,1
VEEV,373,7733,DPI1_R1_Lung,1,1
VEEV,374,9083,DPI1_R1_Lung,1,1
VEEV,375,6080,DPI1_R1_Lung,1,1
VEEV,376,8916,DPI1_R1_Lung,1,1
VEEV,377,7893,DPI1_R1_Lung,1,1
VEEV,378,8229,DPI1_R1_Lung,1,1
VEEV,379,5582,DPI1_R1_Lung,1,1
VEEV,380,6573,DPI1_R1_Lung,1,1
VEEV,381,8077,DPI1_R1_Lung,1,1
VEEV,382,5376,DPI1_R1_Lung,1,1
VEEV,383,5473,DPI1_R1_Lung,1,1
VEEV,384,7287,DPI1_R1_Lung,1,1
VEEV,385,9015,DPI1_R1_Lung,1,1
VEEV,386,7548,DPI1_R1_Lung,1,1
VEEV,387,7874,DPI1_R1_Lung,1,1
VEEV,388,6524,DPI1_R1_Lung,1,1
VEEV,389,8638,DPI1_R1_Lung,1,1
VEEV,390,5911,DPI1_R1_Lung,1,1
VEEV,391,8350,DPI1_R1_Lung,1,1
VEEV,392,6489,DPI1_R1_Lung,1,1
VEEV,393,8493,DPI1_R1_Lung,1,1
VEEV,394,7577,DPI1_R1_Lung,1,1
VEEV,395,7752,DPI1_R1_Lung,1,1
VEEV,396,7001,DPI1_R1_Lung,1,1
VEEV,397,7424,DPI1_R1_Lung,1,1
VEEV,398,7011,DPI1_R1_Lung,1,1
VEEV,399,5774,DPI1_R1_Lung,1,1
VEEV,400,9203,DPI1_R1_Lung,1,1
VEEV,401,7349,DPI1_R1_Lung,1,1
VEEV,402,9521,DPI1_R1_Lung,1,1
VEEV,403,6908,DPI1_R1_Lung,1,1
VEEV,404,6729,DPI1_R1_Lung,1,1
VEEV,405,6220,DPI1_R1_Lung,1,1
VEEV,406,6363,DPI1_R1_Lung,1,1
VEEV,407,7861,DPI1_R1_Lung,1,1
VEEV,408,7256,DPI1_R1_Lung,1,1
VEEV,409,8021,DPI1_R1_Lung,1,1
VEEV,410,7625,DPI1_R1_Lung,1,1
VEEV,411,8010,DPI1_R1_Lung,1,1
VEEV,412,7473,DPI1_R1_Lung,1,1
VEEV,413,6382,DPI1_R1_Lung,1,1
VEEV,414,7105,DPI1_R1_Lung,1,1
VEEV,415,6967,DPI1_R1_Lung,1,1
VEEV,416,6249,DPI1_R1_Lung,1,1
VEEV,417,7049,DPI1_R1_Lung,1,1
VEEV,418,6787,DPI1_R1_Lung,1,1
VEEV,419,6870,DPI1_R1_Lung,1,1
VEEV,420,8285,DPI1_R1_Lung,1,1
VEEV,421,7056,DPI1_R1_Lung,1,1
VEEV,422,9411,DPI1_R1_Lung,1,1
VEEV,423,7625,DPI1_R1_Lung,1,1
VEEV,424,5565,DPI1_R1_Lung,1,1
VEEV,425,8114,DPI1_R1_Lung,1,1
VEEV,426,4768,DPI1_R1_Lung,1,1
VEEV,427,9644,DPI1_R1_Lung,1,1
VEEV,428,9309,DPI1_R1_Lung,1,1
VEEV,429,5902,DPI1_R1_Lung,1,1
VEEV,430,6814,DPI1_R1_Lung,1,1
VEEV,431,8410,DPI1_R1_Lung,1,1
VEEV,432,7830,DPI1_R1_Lung,1,1
VEEV,433,7656,DPI1_R1_Lung,1,1
VEEV,434,7145,DPI1_R1_Lung,1,1
VEEV,435,7967,DPI1_R1_Lung,1,1
VEEV,436,8929,DPI1_R1_Lung,1,1
VEEV,437,8550,DPI1_R1_Lung,1,1
VEEV,438,7852,DPI1_R1_Lung,1,1
VEEV,439,6135,DPI1_R1_Lung,1,1
VEEV,440,8636,DPI1_R1_Lung,1,1
VEEV,441,5619,DPI1_R1_Lung,1,1
VEEV,442,8802,DPI1_R1_Lung,1,1
VEEV,443,6852,DPI1_R1_Lung,1,1
VEEV,444,6399,DPI1_R1_Lung,1,1
VEEV,445,7069,DPI1_R1_Lung,1,1
VEEV,446,7721,DPI1_R1_Lung,1,1
VEEV,447,6236,DPI1_R1_Lung,1,1
VEEV,448,8150,DPI1_R1_Lung,1,1
VEEV,449,6886,DPI1_R1_Lung,1,1
VEEV,450,7497,DPI1_R1_Lung,1,1
VEEV,451,9458,DPI1_R1_Lung,1,1
VEEV,452,7676,DPI1_R1_Lung,1,1
VEEV,453,7640,DPI1_R1_Lung,1,1
VEEV,454,9002,DPI1_R1_Lung,1,1
VEEV,455,8125,DPI1_R1_Lung,1,1
VEEV,456,8845,DPI1_R1_Lung,1,1
VEEV,457,7238,DPI1_R1_Lung,1,1
VEEV,458,7901,DPI1_R1_Lung,1,1
VEEV,459,7061,DPI1_R1_Lung,1,1
VEEV,460,7073,DPI1_R1_Lung,1,1
VEEV,461,6825,DPI1_R1_Lung,1,1
VEEV,462,7126,DPI1_R1_Lung,1,1
VEEV,463,6645,DPI1_R1_Lung,1,1
VEEV,464,6944,DPI1_R1_Lung,1,1
VEEV,465,6512,DPI1_R1_Lung,1,1
VEEV,466,7646,DPI1_R1_Lung,1,1
VEEV,467,7501,DPI1_R1_Lung,1,1
VEEV,468,9122,DPI1_R1_Lung,1,1
VEEV,469,6464,DPI1_R1_Lung,1,1
VEEV,470,6148,DPI1_R1_Lung,1,1
VEEV,471,8605,DPI1_R1_Lung,1,1
VEEV,472,7171,DPI1_R1_Lung,1,1
VEEV,473,8454,DPI1_R1_Lung,1,1
VEEV,474,6304,DPI1_R1_Lung,1,1
VEEV,475,9453,DPI1_R1_Lung,1,1
VEEV,476,8373,DPI1_R1_Lung,1,1
VEEV,477,7968,DPI1_R1_Lung,1,1
VEEV,478,7830,DPI1_R1_Lung,1,1
VEEV,479,7927,DPI1_R1_Lung,1,1
VEEV,480,7837,DPI1_R1_Lung,1,1
VEEV,481,7720,DPI1_R1_Lung,1,1
VEEV,482,7601,DPI1_R1_Lung,1,1
VEEV,483,6002,DPI1_R1_Lung,1,1
VEEV,484,8816,DPI1_R1_Lung,1,1
VEEV,485,5009,DPI1_R1_Lung,1,1
VEEV,486,5317,DPI1_R1_Lung,1,1
VEEV,487,7211,DPI1_R1_Lung,1,1
VEEV,488,5553,DPI1_R1_Lung,1,1
VEEV,489,7588,DPI1_R1_Lung,1,1
VEEV,490,8511,DPI1_R1_Lung,1,1
VEEV,491,7066,DPI1_R1_Lung,1,1
VEEV,492,7896,DPI1_R1_Lung,1,1
VEEV,493,7945,DPI1_R1_Lung,1,1
VEEV,494,5936,DPI1_R1_Lung,1,1
VEEV,495,6908,DPI1_R1_Lung,1,1
VEEV,496,5574,DPI1_R1_Lung,1,1
VEEV,497,7761,DPI1_R1_Lung,1,1
VEEV,498,5743,DPI1_R1_Lung,1,1
VEEV,499,7999,DPI1_R1_Lung,1,1
VEEV,500,8993,DPI1_R1_Lung,1,1
VEEV,501,8248,DPI1_R1_Lung,1,1
VEEV,502,9505,DPI1_R1_Lung,1,1
VEEV,503,5812,DPI1_R1_Lung,1,1
VEEV,504,6459,DPI1_R1_Lung,1,1
VEEV,505,8212,DPI1_R1_Lung,1,1
VEEV,506,6965,DPI1_R1_Lung,1,1
VEEV,507,7979,DPI1_R1_Lung,1,1
VEEV,508,6303,DPI1_R1_Lung,1,1
VEEV,509,6347,DPI1_R1_Lung,1,1
VEEV,510,8786,DPI1_R1_Lung,1,1
VEEV,511,8538,DPI1_R1_Lung,1,1
VEEV,512,7098,DPI1_R1_Lung,1,1
VEEV,513,6332,DPI1_R1_Lung,1,1
VEEV,514,9781,DPI1_R1_Lung,1,1
VEEV,515,6609,DPI1_R1_Lung,1,1
VEEV,516,6414,DPI1_R1_Lung,1,1
VEEV,517,5579,DPI1_R1_Lung,1,1
VEEV,518,7970,DPI1_R1_Lung,1,1
VEEV,519,6198,DPI1_R1_Lung,1,1
VEEV,520,6276,DPI1_R1_Lung,1,1
VEEV,521,7935,DPI1_R1_Lung,1,1
VEEV,522,6254,DPI1_R1_Lung,1,1
VEEV,523,6073,DPI1_R1_Lung,1,1
VEEV,524,6360,DPI1_R1_Lung,1,1
VEEV,525,8333,DPI1_R1_Lung,1,1
VEEV,526,8290,DPI1_R1_Lung,1,1
VEEV,527,7732,DPI1_R1_Lung,1,1
VEEV,528,5708,DPI1_R1_Lung,1,1
VEEV,529,7012,DPI1_R1_Lung,1,1
VEEV,530,7264,DPI1_R1_Lung,1,1
VEEV,531,6051,DPI1_R1_Lung,1,1
VEEV,532,7388,DPI1_R1_Lung,1,1
VEEV,533,8186,DPI1_R1_Lung,1,1
VEEV,534,7591,DPI1_R1_Lung,1,1
VEEV,535,6224,DPI1_R1_Lung,1,1
VEEV,536,9082,DPI1_R1_Lung,1,1
